등급,과목,구분 점수,인원(명),비율(퍼센트)
5,물리학 Ⅱ,46,22536,21.12
6,물리학 Ⅱ,40,20288,19.01
7,물리학 Ⅱ,37,11028,10.33
8,물리학 Ⅱ,35,6188,5.8
9,물리학 Ⅱ,35미만,3293,3.09
1,화학 Ⅱ,68,235,4.48
2,화학 Ⅱ,64,421,8.03
3,화학 Ⅱ,59,608,11.6
4,화학 Ⅱ,53,841,16.04
5,화학 Ⅱ,45,1132,21.59
6,화학 Ⅱ,41,838,15.99
7,화학 Ⅱ,39,610,11.64
8,화학 Ⅱ,36,370,7.06
9,화학 Ⅱ,36미만,187,3.57
1,생명과학 Ⅱ,65,457,6.28
2,생명과학 Ⅱ,63,583,8.01
3,생명과학 Ⅱ,60,731,10.04
4,생명과학 Ⅱ,54,1234,16.95
5,생명과학 Ⅱ,45,1424,19.56
6,생명과학 Ⅱ,41,1291,17.74
7,생명과학 Ⅱ,37,1051,14.44
8,생명과학 Ⅱ,35,310,4.26
9,생명과학 Ⅱ,35미만,198,2.72
1,지구과학 Ⅱ,68,251,5.89
2,지구과학 Ⅱ,65,347,8.14
3,지구과학 Ⅱ,60,452,10.6
4,지구과학 Ⅱ,51,659,15.45
5,지구과학 Ⅱ,44,951,22.3
6,지구과학 Ⅱ,41,957,22.44
7,지구과학 Ⅱ,39,308,7.22
8,지구과학 Ⅱ,38,181,4.24
9,지구과학 Ⅱ,38미만,158,3.71
1,성공적인 직업생활,68,270,7.65
2,성공적인 직업생활,65,199,5.64
3,성공적인 직업생활,58,413,11.7
4,성공적인 직업생활,51,548,15.52
5,성공적인 직업생활,46,718,20.34
6,성공적인 직업생활,42,644,18.24
7,성공적인 직업생활,38,408,11.56
8,성공적인 직업생활,36,215,6.09
9,성공적인 직업생활,36미만,115,3.26
1,농업 기초 기술,68,12,4.74
2,농업 기초 기술,65,18,7.11
3,농업 기초 기술,58,35,13.83
4,농업 기초 기술,51,48,18.97
5,농업 기초 기술,46,44,17.39
6,농업 기초 기술,41,47,18.58
7,농업 기초 기술,38,27,10.67
8,농업 기초 기술,35,16,6.32
9,농업 기초 기술,35미만,6,2.37
1,공업 일반,66,63,5.23
2,공업 일반,64,77,6.39
3,공업 일반,60,149,12.37
4,공업 일반,54,202,16.76
5,공업 일반,46,240,19.92
6,공업 일반,41,201,16.68
7,공업 일반,37,173,14.36
8,공업 일반,35,71,5.89
9,공업 일반,35미만,29,2.41
1,상업 경제,67,71,6.95
2,상업 경제,64,80,7.83
3,상업 경제,61,91,8.9
4,상업 경제,52,173,16.93
5,상업 경제,45,218,21.33
6,상업 경제,41,185,18.1
7,상업 경제,39,95,9.3
8,상업 경제,36,79,7.73
9,상업 경제,36미만,30,2.94
1,수산·해운 산업 기초,63,1,11.11
2,수산·해운 산업 기초,,,
3,수산·해운 산업 기초,61,2,22.22
4,수산·해운 산업 기초,51,1,11.11
5,수산·해운 산업 기초,48,2,22.22
6,수산·해운 산업 기초,46,1,11.11
7,수산·해운 산업 기초,34,2,22.22
8,수산·해운 산업 기초,,,
9,수산·해운 산업 기초,,,
1,인간발달,68,71,6.14
2,인간발달,66,76,6.57
3,인간발달,60,139,12.01
4,인간발달,50,212,18.32
5,인간발달,45,205,17.72
6,인간발달,41,228,19.71
7,인간발달,39,108,9.33
8,인간발달,37,78,6.74
9,인간발달,37미만,40,3.46
