등급,과목,구분 점수,인원(명),비율(퍼센트)
5,물리학 Ⅱ,44,1113,21.74
6,물리학 Ⅱ,41,1254,24.5
7,물리학 Ⅱ,40,185,3.61
8,물리학 Ⅱ,38,299,5.84
9,물리학 Ⅱ,38미만,138,2.7
1,화학 Ⅱ,67,314,6.49
2,화학 Ⅱ,65,284,5.87
3,화학 Ⅱ,61,516,10.67
4,화학 Ⅱ,52,934,19.31
5,화학 Ⅱ,45,864,17.87
6,화학 Ⅱ,40,961,19.87
7,화학 Ⅱ,38,679,14.04
8,화학 Ⅱ,37,162,3.35
9,화학 Ⅱ,37미만,122,2.52
1,생명과학 Ⅱ,69,388,5.34
2,생명과학 Ⅱ,65,546,7.51
3,생명과학 Ⅱ,59,806,11.09
4,생명과학 Ⅱ,50,1312,18.05
5,생명과학 Ⅱ,45,1432,19.71
6,생명과학 Ⅱ,41,1730,23.81
7,생명과학 Ⅱ,39,588,8.09
8,생명과학 Ⅱ,37,346,4.76
9,생명과학 Ⅱ,37미만,119,1.64
1,지구과학 Ⅱ,70,286,6.18
2,지구과학 Ⅱ,67,302,6.52
3,지구과학 Ⅱ,59,477,10.3
4,지구과학 Ⅱ,48,824,17.8
5,지구과학 Ⅱ,44,1195,25.81
6,지구과학 Ⅱ,42,982,21.21
7,지구과학 Ⅱ,41,194,4.19
8,지구과학 Ⅱ,39,289,6.24
9,지구과학 Ⅱ,39미만,81,1.75
1,성공적인 직업생활,73,151,4.17
2,성공적인 직업생활,63,281,7.76
3,성공적인 직업생활,56,444,12.27
4,성공적인 직업생활,50,677,18.7
5,성공적인 직업생활,45,723,19.97
6,성공적인 직업생활,42,539,14.89
7,성공적인 직업생활,39,606,16.74
8,성공적인 직업생활,38,71,1.96
9,성공적인 직업생활,38미만,128,3.54
1,농업 기초 기술,73,18,4.39
2,농업 기초 기술,66,32,7.8
3,농업 기초 기술,54,45,10.98
4,농업 기초 기술,48,81,19.76
5,농업 기초 기술,46,91,22.2
6,농업 기초 기술,44,56,13.66
7,농업 기초 기술,41,53,12.93
8,농업 기초 기술,38,19,4.63
9,농업 기초 기술,38미만,15,3.66
1,공업 일반,69,73,6.33
2,공업 일반,65,83,7.19
3,공업 일반,59,121,10.49
4,공업 일반,49,227,19.67
5,공업 일반,44,214,18.54
6,공업 일반,42,260,22.53
7,공업 일반,40,69,5.98
8,공업 일반,38,79,6.85
9,공업 일반,38미만,28,2.43
1,상업 경제,68,66,6.98
2,상업 경제,65,61,6.45
3,상업 경제,59,98,10.36
4,상업 경제,51,169,17.86
5,상업 경제,45,184,19.45
6,상업 경제,41,229,24.21
7,상업 경제,39,78,8.25
8,상업 경제,36,45,4.76
9,상업 경제,36미만,16,1.69
1,수산·해운 산업 기초,69,3,5.66
2,수산·해운 산업 기초,67,3,5.66
3,수산·해운 산업 기초,54,8,15.09
4,수산·해운 산업 기초,50,8,15.09
5,수산·해운 산업 기초,45,11,20.75
6,수산·해운 산업 기초,43,11,20.75
7,수산·해운 산업 기초,41,5,9.43
8,수산·해운 산업 기초,37,3,5.66
9,수산·해운 산업 기초,37미만,1,1.89
1,인간발달,71,47,4
